trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-110.5839324472864,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-219.55815884171895,"{0: 15, 1: 3, 2: 5, 3: 5, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-127.16792623038441,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-92.47189054688117,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-196.25386717126636,"{0: 10, 1: 2, 2: 10, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-139.63389792154797,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-202.45744421294967,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-68.35650211151255,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-255.83935368880327,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 6}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-57.26645602449553,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-143.72072500856788,"{0: 25, 1: 2, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,1,-44.219310663486915,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-18.948539341466113,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,26.569500071298876,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,4.306133153996786,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-44.04979971377163,"{0: 21, 1: 0, 2: 1, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,5.848054006153198,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-53.350376320235355,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,12,-98.80168095054324,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 3}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-55.90658101765617,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,38.83557438557675,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,10,20.188717786084776,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,12,4.668209073233671,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-102.43943954793218,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-28.82237153701176,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,1,-7.006808556539832,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,2,23.204163996490035,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,6,22.4546052520862,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,18.939531437263383,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,16.991725811522986,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
