trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.999000499833375}",20,0,-82.80703537132968,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.9980019986673331}",30,0,-153.14521237405722,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.997004495503373}",20,0,-162.78058963461297,"{0: 6, 1: 4, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.9960079893439915}",30,12,-66.5849038194991,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.2, 'e': 0.9950124791926823}",20,0,-73.59845673971812,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9940179640539353}",30,0,-109.45137074291839,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.9930244429332351}",25,0,-149.28093155891324,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.9920319148370607}",25,0,-115.60002752081637,"{0: 12, 1: 1, 2: 11, 3: 1, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.9910403787728836}",20,0,-168.33372418462758,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.2, 'e': 0.9900498337491681}",25,0,-92.18824007821948,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.9890602787753687}",25,0,-225.63790956097222,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
12,False,"{'a': 0.2, 'e': 0.9880717128619305}",25,11,-36.533068554340524,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.9870841350202876}",20,0,-59.608336564902174,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.9860975442628619}",30,0,-87.48609564063271,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
